G301_G299_A	 STF
G278	 STF
G604_G529_A	 STF
G345	 STR
G295	 STF
G596_G96_B	 STR
G159	 STR
G263_G249_A	 STR
G216_G215_B	 STF
G381	 STR
G466	 STR
G477	 STF
G661_G667_A	 STR
G299	 STF
G44_G288_A	 STF
G616_G476_B	 STR
G37	 STR
G60_G418_B	 STF
G68_G466_B	 STF
G626	 STR
G700_G107_A	 STF
G453	 STR
G266	 STR
G177_G138_A	 STF
G282	 STR
G617	 STR
G179	 STR
G522	 STF
G75_G584_B	 STF
G524_G456_B	 STF
G558	 STF
G601	 STR
G301_G334_A	 STR
G579	 STR
G33	 STF
G201	 STR
G67_G514_B	 STF
G500_G496_B	 STF
G97	 STF
G561_G582_A	 STF
G620	 STR
G80_G579_A	 STF
G180_G183_A	 STF
G47	 STR
G473	 STR
G305	 STF
G505	 STF
G663	 STF
G396	 STR
G467	 STR
G380	 STR
G669	 STF
G105_G285_B	 STF
========================================================================


G216_G215_B	 STR
G170_G171_A	 STF
G33_G161_B	 STF
G83_G598_B	 STF
G432	 STR
G68_G519_B	 STF
G358_G418_A	 STR
G290	 STR
G357	 STF
G41	 STF
G428	 STR
G53	 STR
G228_G522_B	 STF
G44_G293_A	 STF
G66	 STF
G372	 STR
G552	 STR
G400	 STF
G579	 STF
G133_G115_A	 STF
G629	 STF
G474	 STF
G524_G593_B	 STR
G577	 STF
G266_G290_B	 STR
G424	 STR
G73	 STF
G161	 STF
G394_G395_A	 STF
G177_G141_A	 STF
G645	 STR
G42_G275_B	 STF
G60_G418_B	 STR
G544	 STR
G609	 STF
G82_G575_A	 STR
G74_G96_A	 STF
G358_G372_B	 STR
G459	 STR
G449	 STF
G404	 STR
G549	 STR
G498	 STR
G67_G461_B	 STF
G412_G406_A	 STF
G223_G221_A	 STF
G559	 STR
G73_G501_A	 STF
G499	 STR
G169_G152_A	 STR
G142_G168_B	 STF
G469	 STF
G47_G300_D	 STR
G136_G226_A	 STF
G73_G487_C	 STF
G170_G157_A	 STR
G135_G136_A	 STF
G282	 STR
G565	 STR
G333	 STF
G259	 STF
G267_G290_A	 STR
G500_G496_B	 STF
G700_G133_A	 STR
G50_G300_A	 STF
G102_G276_A	 STR
G502	 STR
G700_G233_A	 STF
G134_G120_A	 STF
G104_G284_B	 STR
G270_G283_A	 STF
G431_G421_A	 STR
G473	 STF
G412	 STF
G375_G368_A	 STF
G202_G203_A	 STR
G210_G206_B	 STF
G264_G265_A	 STR
G492	 STR
G354	 STR
G156	 STF
G470	 STR
G494	 STR
G388	 STF
G377	 STR
G178	 STR
G59_G350_A	 STR
G375_G376_A	 STF
G25_G115_B	 STF
G433	 STR
G345	 STR
G183_G394_A	 STF
G223_G228_A	 STR
G432_G229_A	 STR
G80_G567_A	 STF
G166	 STR
G475	 STF
G427	 STF
========================================================================


G357	 STF
G610_G575_B	 STF
G474	 STF
G42_G275_B	 STF
G492	 STF
G395_G393_A	 STF
G508	 STF
G289	 STR
G429	 STF
G104_G294_B	 STF
G345	 STR
G185	 STF
G136_G132_A	 STF
G103	 STF
G462	 STF
G268_G279_A	 STF
G553	 STR
G625	 STR
G476_G655_B	 STF
G79_G563_A	 STR
G120	 STF
G84	 STF
G476_G627_A	 STF
G177	 STF
G675	 STF
G577	 STF
G325	 STR
G604_G591_B	 STR
G57_G400_B	 STF
G597_G599_B	 STR
G413_G410_A	 STR
G495	 STF
G84_G606_A	 STR
G613	 STF
G604_G528_A	 STR
G45_G254_B	 STF
G619	 STF
G396	 STR
G507	 STR
G594	 STR
G43	 STR
G335_G399_A	 STR
G414	 STR
G617	 STR
G66_G454_B	 STR
G202_G203_A	 STR
G294	 STR
G169	 STF
G422	 STF
G74	 STR
G44_G293_A	 STR
G381	 STR
G645_G691_A	 STR
G44_G288_A	 STF
G636	 STF
G291	 STR
G500_G496_B	 STR
G57_G399_B	 STF
G532	 STF
G358_G418_A	 STR
G80_G584_A	 STF
G457_G618_A	 STF
G170_G156_A	 STR
G142_G141_B	 STR
G643	 STR
G69	 STF
G288	 STF
G168_G146_A	 STF
G317	 STF
G226_G177_B	 STF
G496	 STF
G178_G167_B	 STR
G623	 STR
G616	 STR
G596_G99_B	 STR
G276	 STR
G449	 STR
G46_G257_B	 STR
G684	 STR
G273	 STF
G79_G578_A	 STR
G300	 STF
G424	 STF
G50_G325_A	 STR
G452	 STF
G68_G519_B	 STF
G53	 STR
G596_G98_B	 STR
G96	 STF
G610_G567_B	 STF
G66	 STF
G386	 STF
G35_G182_A	 STF
G410	 STF
G630	 STR
G55	 STF
========================================================================


G82	 STF
G600	 STF
G58_G402_B	 STR
G97	 STR
G57_G399_B	 STR
G466	 STF
G267	 STF
G337	 STR
G69_G471_B	 STR
G640	 STR
G610_G571_B	 STF
G335_G400_A	 STF
G493	 STR
G277	 STR
G90_G654_A	 STR
G82_G575_A	 STF
G615_G454_A	 STF
G81_G585_A	 STF
G596_G100_B	 STR
G49_G300_B	 STR
G432_G229_A	 STR
G350	 STF
G581	 STF
G615	 STF
G28	 STR
G67_G462_B	 STR
G46	 STF
G46_G285_A	 STR
G410	 STF
G529	 STF
G344	 STR
G22	 STR
G288	 STR
G694	 STF
G82_G581_A	 STF
G645_G355_B	 STR
G202_G203_A	 STF
G304	 STF
G435_G439_A	 STR
G324_G312_B	 STR
G134_G121_A	 STF
G295	 STR
G203_G200_A	 STR
G692	 STR
G645_G636_B	 STR
G72	 STF
G266_G290_B	 STF
G72_G496_A	 STR
G530	 STF
G584	 STR
G698	 STF
G45_G254_B	 STR
G596	 STR
G281	 STF
G496	 STF
G368	 STR
G293	 STR
G480_G481_A	 STR
G77_G543_B	 STR
G430	 STR
G265_G261_A	 STF
G557	 STR
G683	 STR
G358_G431_A	 STF
G142_G168_B	 STF
G464	 STR
G347	 STF
G565	 STF
G517	 STF
G184	 STR
G416	 STR
G514	 STR
G38_G340_A	 STF
G596_G98_B	 STF
G96	 STR
G251	 STF
G71	 STF
G42_G262_B	 STR
G193	 STF
G81_G561_C	 STR
G62_G349_A	 STR
G69_G520_B	 STR
G171_G161_A	 STR
G618	 STF
G78_G546_B	 STF
G78_G100_A	 STF
G635	 STR
G375	 STF
G479_G467_A	 STF
G596_G97_B	 STF
G41_G220_B	 STR
G68_G519_B	 STF
G168_G169_A	 STF
G523_G358_A	 STF
G413_G404_B	 STF
G325	 STF
G101	 STF
G43	 STR
========================================================================


G50_G325_A	 STR
G111_G110_B	 STR
G265	 STR
G226_G177_B	 STR
G215	 STF
G134_G120_A	 STR
G698	 STF
G614	 STR
G250	 STR
G394_G395_A	 STF
G264_G254_A	 STR
G38_G340_A	 STF
G610_G563_B	 STF
G278	 STF
G311	 STR
G172_G173_A	 STF
G257	 STF
G601	 STR
G511_G505_B	 STR
G621	 STF
G544	 STR
G532	 STF
G441	 STF
G645	 STR
G267	 STR
G84_G606_A	 STR
G645_G355_B	 STR
G594	 STF
G178_G167_B	 STF
G639	 STR
G125	 STF
G636	 STR
G596	 STR
G462	 STR
G582	 STF
G44_G278_B	 STF
G602	 STF
G79_G561_A	 STR
G222_G215_A	 STF
G42_G262_B	 STR
G375_G376_A	 STR
G411	 STR
G48_G300_C	 STF
G479_G467_A	 STF
G617	 STF
G50_G300_A	 STF
G77_G99_A	 STF
G325	 STF
G104_G284_B	 STF
G209	 STR
G480	 STF
G59_G410_B	 STR
G178_G181_A	 STR
G43_G292_A	 STR
G456	 STR
G355	 STR
G546	 STF
G269_G289_B	 STF
G264_G265_A	 STF
G331_G332_B	 STF
G236	 STR
G481	 STR
G628	 STR
G331	 STF
G293	 STF
G615_G444_A	 STF
G555	 STR
G180_G183_A	 STF
G509	 STF
G645_G646_B	 STR
G33_G161_B	 STR
G354	 STR
G596_G96_B	 STR
G72	 STF
G138	 STR
G87_G673_A	 STR
G262_G244_A	 STR
G338	 STF
G90	 STF
G363	 STF
G150	 STR
G500_G496_B	 STF
G42_G291_A	 STF
G43_G287_A	 STR
G247	 STR
G167	 STF
G87	 STR
G59_G350_A	 STR
G524_G604_B	 STF
G237	 STF
G216	 STF
G487	 STR
G48_G312_A	 STR
G81_G561_C	 STF
G101	 STR
G243	 STR
G480_G472_A	 STR
G457_G355_A	 STR
G507	 STR
========================================================================


G223_G220_A	 STR
G289	 STF
G44_G288_A	 STR
G535	 STF
G540	 STF
G432	 STR
G422	 STF
G82_G561_D	 STF
G587	 STF
G412	 STF
G385	 STR
G223_G228_A	 STF
G612	 STF
G645_G642_B	 STF
G565	 STR
G457	 STF
G277	 STR
G477	 STF
G645_G627_B	 STR
G104_G294_B	 STR
G81_G580_A	 STR
G201	 STR
G395	 STF
G44_G293_A	 STR
G85	 STF
G529	 STR
G452	 STF
G617	 STR
G101_G291_B	 STR
G299	 STF
G395_G389_A	 STF
G127_G126_B	 STR
G601_G602_B	 STR
G90_G654_A	 STR
G236	 STR
G49_G326_A	 STR
G375_G376_A	 STR
G172_G173_A	 STF
G394_G395_A	 STF
G203_G201_A	 STR
G229_G344_A	 STF
G49_G300_B	 STR
G621	 STF
G288	 STF
G203_G224_A	 STR
G649_G234_A	 STF
G527	 STR
G578	 STR
G641	 STR
G229	 STF
G431_G425_A	 STF
G61	 STR
G635	 STF
G47_G306_A	 STF
G358_G418_A	 STR
G227	 STR
G462	 STR
G270_G283_A	 STR
G550_G551_A	 STR
G553_G546_A	 STF
G414_G345_A	 STF
G497	 STR
G79_G561_A	 STR
G645_G621_B	 STR
G434_G462_A	 STR
G200	 STF
G291	 STR
G489	 STF
G511_G508_B	 STR
G700_G110_A	 STF
G77_G586_B	 STR
G369	 STR
G324_G318_B	 STF
G225	 STR
G198	 STF
G348_G698_A	 STF
G62_G349_A	 STF
G610_G563_B	 STR
G519	 STF
G285	 STR
G28_G131_B	 STR
G270	 STR
G596	 STR
G184	 STR
G258	 STF
G435_G439_A	 STR
G183_G209_A	 STF
G178_G181_A	 STF
G412_G406_A	 STF
G561	 STF
G457_G618_A	 STF
G331_G332_B	 STF
G479_G467_A	 STR
G376_G370_A	 STF
G611	 STF
G102_G287_B	 STF
G368	 STR
G355_G356_B	 STR
G224	 STR
========================================================================


G560	 STR
G299_G240_A	 STF
G316	 STF
G476_G654_B	 STF
G341	 STF
G70_G474_B	 STF
G229	 STF
G557	 STF
G103_G288_B	 STR
G457	 STF
G198	 STR
G358_G431_A	 STF
G74_G583_B	 STR
G150	 STR
G324_G312_B	 STR
G335_G412_A	 STF
G223_G221_A	 STF
G524_G604_B	 STF
G489	 STF
G28_G131_B	 STR
G55	 STR
G284	 STF
G551_G539_A	 STR
G550	 STR
G105_G285_B	 STF
G46_G257_B	 STF
G645_G639_B	 STR
G285	 STF
G620	 STF
G348_G698_A	 STF
G209	 STR
G96	 STF
G43_G276_B	 STF
G268_G279_A	 STR
G550_G551_A	 STF
G461	 STR
G358_G432_A	 STR
G502	 STR
G85	 STF
G102_G276_A	 STF
G74_G96_A	 STR
G46_G285_A	 STF
G587	 STR
G85_G602_A	 STR
G83	 STF
G622	 STF
G62_G429_B	 STR
G428	 STF
G180_G184_A	 STR
G57_G412_B	 STF
G81_G580_A	 STR
G167	 STF
G579	 STR
G526	 STR
G432	 STR
G278	 STF
G368	 STR
G524_G593_B	 STR
G608	 STF
G67_G479_B	 STR
G324_G325_B	 STR
G289	 STR
G346	 STR
G601	 STR
G430	 STR
G700_G107_A	 STF
G479_G480_A	 STF
G78_G546_B	 STF
G290	 STR
G412_G406_A	 STF
G49	 STF
G435_G593_A	 STR
G191_G190_B	 STR
G545	 STR
G172_G173_A	 STF
G66_G454_B	 STF
G552_G544_A	 STF
G498	 STR
G469	 STR
G72_G519_A	 STR
G293	 STF
G654	 STF
G506	 STR
G610_G563_B	 STF
G291	 STF
G578	 STR
G296	 STR
G375_G368_A	 STR
G83_G456_A	 STR
G78	 STF
G48_G300_C	 STF
G577	 STF
G54_G377_B	 STF
G632	 STR
G266	 STR
G645_G352_B	 STR
G561	 STR
G76_G580_B	 STR
G413_G404_B	 STF
========================================================================


G439	 STR
G118	 STR
G184	 STR
G44_G293_A	 STR
G105	 STR
G31_G151_B	 STR
G433	 STR
G336	 STR
G84_G606_A	 STR
G79	 STF
G132	 STR
G257	 STR
G50_G300_A	 STR
G68_G519_B	 STR
G524_G604_B	 STF
G102	 STR
G203_G225_B	 STF
G105_G295_B	 STR
G553_G546_A	 STR
G561_G582_A	 STF
G267	 STR
G614	 STF
G258	 STF
G62_G349_A	 STF
G609	 STF
G355_G356_B	 STR
G291	 STR
G324_G318_B	 STF
G489	 STR
G435_G232_C	 STR
G375_G367_A	 STF
G638	 STR
G75_G579_B	 STF
G318	 STF
G367	 STR
G81_G561_C	 STF
G48_G319_A	 STR
G512	 STF
G362	 STR
G344	 STF
G623	 STF
G285	 STR
G349	 STF
G480_G481_A	 STF
G513	 STR
G169_G152_A	 STF
G76_G580_B	 STF
G628	 STR
G511_G505_B	 STF
G457_G355_A	 STF
G527	 STR
G610_G571_B	 STR
G363	 STF
G523_G363_A	 STR
G339	 STF
G485	 STR
G68_G515_B	 STF
G346	 STR
G601_G602_B	 STR
G422	 STF
G629	 STF
G82_G581_A	 STF
G268_G279_A	 STR
G183_G377_A	 STR
G334	 STR
G645	 STR
G569	 STR
G296	 STR
G664	 STF
G303	 STF
G551_G539_A	 STF
G481_G474_A	 STR
G432_G229_A	 STF
G223_G221_A	 STF
G663	 STF
G642	 STR
G376_G370_A	 STF
G494	 STR
G103_G278_A	 STR
G546	 STF
G63	 STF
G265_G261_A	 STR
G556	 STF
G518	 STR
G610_G563_B	 STR
G94	 STR
G341	 STF
G551	 STR
G41	 STR
G553_G549_A	 STR
G57	 STF
G476_G624_A	 STF
G78_G546_B	 STF
G631	 STR
G552_G544_A	 STF
G97	 STR
G560	 STF
G471	 STF
G85_G602_A	 STR
G58_G413_B	 STR
========================================================================


G432_G423_B	 STR
G626	 STF
G452	 STF
G198	 STR
G552_G553_A	 STF
G82_G561_D	 STF
G604_G528_A	 STR
G76_G98_A	 STF
G55	 STR
G469	 STR
G266_G271_B	 STF
G477	 STR
G588	 STR
G510	 STR
G618	 STR
G645_G621_B	 STR
G48_G319_A	 STF
G51_G362_B	 STF
G90_G654_A	 STF
G54_G381_B	 STF
G518	 STR
G47_G301_D	 STF
G103_G288_B	 STF
G649_G234_A	 STR
G72_G496_A	 STR
G180_G184_A	 STR
G227_G183_B	 STF
G22	 STR
G349	 STF
G80	 STR
G170_G157_A	 STF
G31_G151_B	 STR
G390	 STF
G113	 STR
G155	 STR
G481_G478_A	 STF
G552	 STR
G485	 STR
G427	 STF
G394_G387_A	 STF
G42_G286_A	 STF
G449	 STR
G351	 STF
G294	 STR
G531	 STF
G375_G368_A	 STR
G545	 STR
G584	 STR
G582	 STF
G435_G232_C	 STR
G442	 STF
G172_G227_A	 STR
G267	 STR
G431	 STF
G295	 STF
G263_G249_A	 STR
G49_G300_B	 STF
G466	 STF
G417	 STR
G524_G456_B	 STR
G645_G691_A	 STR
G78	 STF
G76_G580_B	 STF
G604_G529_A	 STR
G260	 STF
G80_G579_A	 STR
G522_G187_A	 STF
G319	 STR
G348_G349_B	 STR
G99	 STF
G461	 STR
G183_G381_A	 STF
G56_G389_B	 STR
G264_G265_A	 STF
G645_G646_B	 STF
G550_G551_A	 STF
G415	 STF
G214	 STF
G84	 STR
G645_G636_B	 STF
G69_G516_B	 STF
G347	 STR
G571	 STR
G520	 STR
G236	 STF
G101_G291_B	 STR
G149	 STR
G550_G534_A	 STF
G630	 STR
G289	 STR
G102_G292_B	 STF
G504	 STF
G525	 STF
G409	 STR
G692	 STR
G558	 STF
G586	 STR
========================================================================


G700_G110_A	 STF
G489	 STR
G81_G561_C	 STF
G98	 STR
G79_G578_A	 STF
G649	 STR
G434_G461_A	 STF
G262_G263_A	 STF
G80	 STR
G73_G501_A	 STR
G623	 STR
G72_G487_B	 STF
G339	 STF
G185	 STF
G553_G549_A	 STR
G296	 STR
G173	 STR
G646	 STF
G683	 STR
G135_G136_A	 STF
G508	 STR
G550_G533_A	 STR
G265_G261_A	 STR
G78_G582_B	 STR
G500_G492_B	 STF
G610_G567_B	 STR
G637	 STF
G127	 STR
G397	 STR
G601_G602_B	 STR
G619	 STR
G347	 STR
G99	 STF
G540	 STF
G324_G306_B	 STF
G75_G97_A	 STR
G480_G481_A	 STF
G569	 STR
G54_G377_B	 STR
G500_G496_B	 STF
G78_G100_A	 STF
G42_G291_A	 STF
G184	 STR
G50_G300_A	 STF
G509	 STR
G74_G578_B	 STR
G317	 STF
G643	 STR
G315	 STF
G67_G461_B	 STF
G171_G172_A	 STF
G341	 STF
G229	 STR
G77_G99_A	 STF
G57_G399_B	 STR
G626	 STF
G582	 STF
G325	 STF
G180_G177_A	 STF
G79_G583_A	 STR
G505	 STR
G82_G586_A	 STR
G600	 STF
G316	 STF
G596_G99_B	 STR
G553_G546_A	 STF
G64_G444_B	 STF
G270_G289_A	 STR
G293	 STF
G67_G479_B	 STR
G45	 STR
G635	 STR
G493	 STF
G294	 STF
G102	 STR
G550_G534_A	 STF
G615_G443_A	 STR
G381	 STF
G456	 STR
G269_G289_B	 STF
G282	 STR
G375_G368_A	 STF
G352	 STR
G645_G630_B	 STF
G85_G602_A	 STF
G585	 STR
G571	 STR
G527	 STR
G334	 STR
G251	 STF
G581	 STF
G644	 STR
G80_G584_A	 STR
G618	 STR
G209	 STF
G561_G582_A	 STF
G265_G257_A	 STF
========================================================================


G264_G265_A	 STF
G59_G350_A	 STR
G292	 STF
G341	 STF
G456	 STR
G28_G131_B	 STR
G229_G344_A	 STF
G431_G425_A	 STF
G596	 STR
G77_G581_B	 STR
G101_G286_B	 STF
G506	 STR
G58_G413_B	 STR
G177_G141_A	 STR
G476_G627_A	 STF
G31	 STR
G615_G444_A	 STF
G70	 STR
G497	 STF
G202_G203_A	 STF
G307	 STF
G596_G98_B	 STR
G521	 STR
G522_G202_A	 STF
G262_G245_A	 STF
G295	 STF
G502	 STR
G520	 STF
G63_G439_B	 STR
G355_G356_B	 STR
G645_G633_B	 STF
G647	 STF
G516	 STF
G552_G544_A	 STF
G645_G618_B	 STR
G102_G287_B	 STF
G172_G167_A	 STR
G48_G319_A	 STF
G602	 STF
G504	 STF
G550_G534_A	 STF
G636	 STF
G264_G255_A	 STF
G500_G496_B	 STR
G73_G501_A	 STR
G73	 STF
G395	 STF
G694	 STF
G334	 STR
G49_G300_B	 STF
G545	 STF
G103_G293_B	 STR
G591	 STR
G80	 STR
G183_G377_A	 STF
G80_G584_A	 STR
G551_G538_A	 STR
G511_G508_B	 STR
G503	 STF
G45_G294_A	 STR
G35_G182_A	 STF
G118	 STR
G451	 STF
G71	 STF
G32	 STR
G101	 STF
G348_G349_B	 STR
G76	 STR
G601	 STF
G76_G98_A	 STR
G69_G520_B	 STR
G376_G374_A	 STF
G269_G289_B	 STF
G507	 STR
G484	 STR
G549	 STR
G301_G334_A	 STF
G551_G539_A	 STF
G311	 STR
G90_G654_A	 STF
G43_G292_A	 STF
G72	 STR
G99	 STF
G509	 STR
G501	 STF
G540	 STF
G46	 STF
G48_G312_A	 STR
G536	 STR
G64_G444_B	 STR
G648	 STR
G474	 STF
G493	 STF
G645	 STR
G79_G583_A	 STF
G542	 STR
G645_G627_B	 STR
G79_G578_A	 STF
========================================================================


G610_G563_B	 STR
G332	 STR
G638	 STF
G376	 STR
G432_G229_A	 STF
G223_G221_A	 STF
G635	 STF
G625	 STF
G435_G593_A	 STR
G602	 STR
G45_G280_B	 STF
G62_G349_A	 STR
G50_G325_A	 STF
G248	 STR
G301_G334_A	 STR
G332BF	 STF
G604_G591_B	 STR
G648	 STF
G639	 STR
G620	 STF
G50_G301_A	 STF
G649	 STR
G645_G633_B	 STF
G265_G257_A	 STF
G479_G467_A	 STF
G90_G654_A	 STF
G476_G654_B	 STF
G203_G225_B	 STF
G96	 STR
G259	 STF
G569	 STF
G623	 STF
G568	 STF
G280	 STR
G171_G172_A	 STF
G645_G621_B	 STF
G43	 STR
G101_G291_B	 STR
G268_G279_A	 STR
G227	 STR
G347	 STR
G76_G580_B	 STF
G645_G352_B	 STF
G182	 STR
G77_G581_B	 STR
G457_G355_A	 STF
G520	 STR
G268_G289_C	 STR
G71_G487_A	 STF
G74_G583_B	 STR
G58_G413_B	 STF
G470	 STR
G636	 STF
G79_G578_A	 STF
G289	 STF
G180	 STF
G418	 STF
G561_G582_A	 STF
G412	 STF
G99	 STR
G376_G370_A	 STR
G325	 STR
G155	 STR
G535	 STF
G48_G312_A	 STR
G395_G389_A	 STF
G249	 STF
G297	 STR
G456	 STR
G587	 STR
G286	 STR
G103	 STF
G47_G300_D	 STF
G257	 STR
G493	 STF
G335_G412_A	 STF
G84_G603_B	 STR
G54_G381_B	 STF
G136_G226_A	 STR
G513	 STR
G609	 STF
G183_G394_A	 STF
G74_G96_A	 STF
G497	 STF
G585	 STR
G172_G167_A	 STF
G476_G624_A	 STF
G37_G195_B	 STR
G417	 STR
G68_G466_B	 STF
G183_G381_A	 STF
G82_G586_A	 STR
G621	 STF
G604_G528_A	 STR
G550_G533_A	 STR
G339	 STF
========================================================================


G223_G221_A	 STF
G510	 STR
G691	 STR
G537	 STR
G185	 STF
G375_G376_A	 STF
G455	 STF
G79	 STF
G183_G222_A	 STF
G48_G301_C	 STF
G246	 STF
G645_G691_A	 STR
G524_G604_B	 STR
G48_G319_A	 STR
G480	 STF
G556	 STR
G601	 STF
G227	 STR
G180_G181_B	 STR
G645_G434_B	 STR
